NAME,STATUS,ISIN CODE,CODE,TRADING COUNTER NAME
FENIXPOWEUS$340M4.317%N270920R,,USP40070AB35,80DB,FenixPowern4.317%270920R
FIBRAPROLOGUSD500M5.5%N351126A,,US31575KAA34,QWOB,FibraProlog n5.5%351126A
FIBRAPROLOGUSD500M5.5%N351126R,,USP40692AA67,FDGB,FibraProlog n5.5%351126R
FIDEICOMISCOP522B6.75%N440215A,,US31574HAA14,8EEB,Fideicomison6.75%440215A
FIDEICOMISCOP522B6.75%N440215R,,USP4R70UAA21,8EFB,Fideicomison6.75%440215R
FIGTREE HOLDINGS LIMITED,,SG2G36998349,5F4,Figtree
FILINVEST US$200M4.125%N250917,,XS2219433765,YJBB,Filinvest n4.125%250917S
FININD US$250M 8% N240719A,,US31770BAC28,79LB,FinInd n8%240719A
FININD US$250M 8% N240719R,,USP4173SAF13,79MB,FinInd n8%240719R
FIRST REAL ESTATE INV TRUST,,SG1U27933225,AW9U,First Reit
FIRST REIT S$100M3.25%N270407,,SGXF83155931,FLQB,FirstReitn3.25%270407S
FIRST REIT S$60M5.68% PERPSEC,,SG73F5000007,4I3B,FirstReit 5.68%PerSec S
FIRST RESOURCES LIMITED,,SG1W35938974,EB5,First Resources
FIRST SHIP LEASE TRUST,,SG1U66934613,D8DU,FSL Trust
FIRST SPONSOR GROUP LIMITED,,KYG3488W1078,ADN,First Sponsor
FIRST SPONSOR GROUP W290321,,KYG3488W1490,RAYW,First Sponsor W290321
FIRSTMAC A$201.6M F490308,,AU3FN0040788,8MPB,First macf490308S
FIRSTMAC A$60M F490308,,AU3FN0040804,8MRB,Firstmac f490308S
FIRSTMAC A$78M F490308,,AU3FN0040796,8MOB,Firstmac f490308 S
FIRSTMAC US$180M F490308,,XS1791341289,8MQB,Firstmacf490308S
FIRSTSPONS$128M3.495%N300514,,SGXF14133460,GPWB,FirstSponsn3.495%300514S
FIRSTSPONSORS$243.98M4.85%PCCS,,SGXF91099980,91DB,FirstSponsor4.85%PCCS#
FLCT TREA S$100M2.45%N340215,,SGXF82957253,YNUB,FLCT Trea n2.45%340215S
FLCT TREA S$150M2.18%N280726,,SGXF31305620,KGTB,FLCT Trea n2.18%280726S
FLCT TREA SGD175M3.83%N290326,,SGXF72582350,OOWB,FLCT Trea n3.83%290326S
FLIGHTCENTREAUD400M2.5%N271117,,XS2250347700,ERGB,FlightCentren2.5%271117S
FLIGHTCENTREAUD450M2.5%N320903,,XS3171591616,YTQB,FlightCentren2.5%320903S
FLIGHTCTRAUD400M1.625%N281101,,XS2400443748,LWOB,FlightCtr1.625%281101S
FLYLEASING US$300M5.25%N241015,,US34407DAC39,81VB,FlyLeasingn5.25%241015S
FM CAS S2013C01 CM1 F231024,,US30711XAA28,62EB,FMS13C01CM1 f231024S
